"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"CEBPA",0.338642984801005,1.40304234834311,0.227653860636297,1.48753455730771,0.136873683180526,0.898031275812313,2.19204818837018,""
"BGN",0.359785795557211,1.43302242191253,0.244032945345583,1.47433288176605,0.140391986027125,0.888242943520998,2.31192747061267,""
"BMP4",0.206503866649625,1.22937248776054,0.140390478209661,1.47092501772969,0.141311396057269,0.933647412769227,1.61876602772326,""
"NUF2",-0.245039200797626,0.782673856201048,0.168768712729392,-1.45192314875641,0.146522975155654,0.562243752694077,1.08952453850373,""
"CLDN5",0.180205565557337,1.19746349507357,0.124201709299987,1.45091051140112,0.146804780548566,0.938731942768104,1.52750615666228,""
"STMN1",-0.323576939732761,0.723556285553453,0.227077077515866,-1.42496522886663,0.154167252469318,0.463643271725743,1.12917350534441,""
"SHC4",-0.120706191250997,0.886294322368675,0.0853471982758976,-1.41429588421633,0.157275044910923,0.749773868896007,1.04767271633456,""
"FOS",0.244027028701448,1.27637882888553,0.173458053188802,1.40683597109115,0.159476033444344,0.908514429610113,1.79319432001354,""
"FLRT2",0.194911745399321,1.21520373443673,0.13958986248357,1.39631733946484,0.16261895455767,0.92433625826055,1.59760055173852,""
"RAD51",0.373828519005167,1.45328791783021,0.269691344271548,1.38613465706473,0.165705789493491,0.856623480662885,2.46554737266469,""
"NDC80",-0.234554620368941,0.79092303220372,0.172548058524822,-1.35935821228147,0.174033105993626,0.563976553204938,1.10919370551033,""
"EGF",-0.146563572812729,0.863670824605869,0.108529467436846,-1.35044957166141,0.176871819034299,0.698180635035904,1.06838725659732,""
"CX3CL1",-0.21658115972136,0.805267177010786,0.160381984106304,-1.35040828262735,0.176885055511591,0.588061307337752,1.10270003871974,""
"PRKN",0.281259766670895,1.3247976975288,0.211953414630842,1.32698860813714,0.18451245106732,0.874449011243415,2.00707979174448,""
"FLNC",0.181905712726902,1.19950109086093,0.14184070397771,1.28246481881173,0.199679638703499,0.908375936929453,1.58392886522301,""
"F13A1",0.209830873112196,1.23346942946892,0.167069909738255,1.25594652825834,0.209135357566243,0.889033703156107,1.71134888141269,""
"C7",0.109323417634877,1.11552307184,0.0871818041108656,1.25397058193307,0.20985269831353,0.940306137517473,1.32338998349272,""
"H4C8",-0.18122794191248,0.834245177580234,0.146097789207847,-1.24045642918426,0.214806620375592,0.626520147101207,1.11084219643371,""
"RAD51AP1",-0.250810186271055,0.778170064903174,0.202352929567578,-1.23946901488913,0.215171856695705,0.523397199030517,1.15695814007614,""
"CXCL12",0.263154013249641,1.30102707893058,0.214050321757463,1.22940255865542,0.218920911420419,0.855236783795772,1.97918458628276,""
"CDCA3",-0.24210268277664,0.784975569942278,0.198781568004825,-1.21793325813167,0.223249336463855,0.531683231305311,1.15893563897705,""
"ZBTB16",0.13121396109272,1.1402117161595,0.108128328070119,1.21350217315513,0.224937884021539,0.922457783154085,1.40936830000189,""
"PLAT",0.237114237783358,1.26758591570965,0.198121068486455,1.19681485464818,0.231378727037648,0.859679252915141,1.86903900292693,""
"F3",0.162621850136931,1.17659167757137,0.136989591411597,1.18711099479317,0.23518384206284,0.899539048416796,1.53897485402855,""
"FABP4",0.0897079767417164,1.09385480601548,0.0764465615203969,1.17347301118025,0.240606173622481,0.941647262402558,1.27066512527241,""
"LRP2",-0.0983966485176367,0.906289354122358,0.0844789946165398,-1.1647469168433,0.244121451731742,0.767994708819448,1.06948704719347,""
"FN1",0.251732216235015,1.28625155387955,0.216988410085811,1.16011825763166,0.246000661664568,0.840669019300509,1.96800764852042,""
"NR2F1",0.188438068208158,1.20736230656007,0.163357373465846,1.15353267630466,0.248691813489996,0.876571941012078,1.66298243315773,""
"CAV1",0.212078994299133,1.23624553757125,0.184098817432914,1.15198455512304,0.249327420078829,0.861786208151525,1.77341319077611,""
"CENPU",-0.243456851649813,0.783913299868125,0.21280317058231,-1.14404710692807,0.252604101490294,0.516570552848418,1.18961496802637,""
"GPX3",0.205354030771792,1.22795972354604,0.182625217298835,1.12445605162931,0.260819604715429,0.858486075965673,1.75644675535955,""
"LCN2",-0.0871303483116899,0.916557616108518,0.0776893001845018,-1.12152314546233,0.262065245045491,0.78710109814403,1.06730617658572,""
"NEK2",-0.192987657616283,0.8244921502748,0.172670892340177,-1.1176617842229,0.263711470287899,0.587771866928773,1.15654958005525,""
"CD24",-0.179590826718089,0.835612051596124,0.162144466887679,-1.10759762676635,0.268035628836086,0.608116902219747,1.14821261869871,""
"SELP",0.138100567890312,1.14809100555885,0.124761872130449,1.10691323825212,0.26833144172281,0.899039589578524,1.46613449766219,""
"CENPF",-0.184933997946172,0.831159140252103,0.169308656699152,-1.0922890864038,0.274706055790799,0.596442243759052,1.15824377574384,""
"IDO1",-0.111730976938404,0.894284808379128,0.102612289840119,-1.08886544791558,0.276213225041473,0.731361532202619,1.09350202777158,""
"E2F2",0.250811271207082,1.28506753219946,0.231938906082173,1.08136782846696,0.279533526458664,0.815641277707582,2.02466281127236,""
"IL6",0.17762787400357,1.19438077838968,0.165015493172691,1.07643149493654,0.281734323154309,0.864333534382098,1.65045712915277,""
"CX3CR1",0.142163499206357,1.15276510931048,0.133278642049126,1.06666377313446,0.286123691475769,0.887756452226494,1.49688283752915,""
"CXCL11",-0.125783576090274,0.881805669964034,0.118041330998498,-1.06558927306465,0.286609350389226,0.699674303076819,1.11134743145676,""
"SAA1",-0.100754051407706,0.904155381284848,0.0948507422334345,-1.0622378806456,0.288127706990429,0.750768380106436,1.08888037265295,""
"CDT1",-0.251245031257709,0.777831755113176,0.236625902738842,-1.06178160695704,0.28833484165271,0.489180724302039,1.23680719457147,""
"KNL1",0.270917925742511,1.3111674528732,0.258008804928742,1.05003364446161,0.293702644503304,0.790752670513023,2.17408066210973,""
"G0S2",0.139016587026182,1.14914316071322,0.132400222525629,1.04997245755589,0.29373077596692,0.886492086071403,1.48961285110401,""
"MRC1",0.18144949703513,1.19895398444973,0.173160567911394,1.04786845656441,0.294699217050468,0.853901885801698,1.68343773532985,""
"MMP7",-0.0933510490818805,0.910873682793551,0.0894353326741044,-1.04378265603422,0.296585957749975,0.764417571118885,1.08538957940417,""
"KIT",0.146745770082978,1.15805951222864,0.14184680222914,1.03453703415833,0.300885172839398,0.876981962927925,1.52922396418027,""
"ATAD2",-0.206733635969225,0.813236238022991,0.200855357027462,-1.02926622933417,0.303354587893859,0.548590563411581,1.20554968120661,""
"KIF14",-0.187351077006256,0.829152588872165,0.18346730472124,-1.02116874334049,0.307174498352075,0.578717756988539,1.1879608104837,""
