"baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl_id","ensembl_id_clean","hgnc_symbol","label","regulation"
1396.9708963305,-1.41240248510269,0.0891440306827696,4.35983416103003e-57,6.90364839660502e-56,"ENSG00000188215.10","ENSG00000188215","DCUN1D3","DCUN1D3","Down"
593.832807054372,0.412569737162311,0.114154517230766,0.000303973915327841,0.000462956008866185,"ENSG00000188227.13","ENSG00000188227","ZNF793","ZNF793","NS"
12537.3146620582,0.953795215016095,0.0912376840450176,7.92233188854764e-26,3.72484551376178e-25,"ENSG00000188229.6","ENSG00000188229","TUBB4B","TUBB4B","NS"
111.739938422832,-0.0974081700191545,0.0873405774046355,0.262539085008095,0.29575677546318,"ENSG00000188234.13","ENSG00000188234","AGAP4","AGAP4","NS"
7.02193204496591,0.305191381684636,0.14542252399206,0.0329379937565966,0.0416444188409752,"ENSG00000188242.4","ENSG00000188242","SLC9A3-OT1","SLC9A3-OT1","NS"
4172.36976737727,-0.251588611094748,0.0741770024776024,0.000608117175287523,0.000904227613747086,"ENSG00000188243.13","ENSG00000188243","COMMD6","COMMD6","NS"
1942.43187671149,-1.71047883984718,0.314473473035371,1.01600060438489e-08,2.09150255783581e-08,"ENSG00000188257.12","ENSG00000188257","PLA2G2A","PLA2G2A","Down"
25.4514819782883,3.10438338834774,0.255260897663068,4.77126425556132e-34,3.12960403735698e-33,"ENSG00000188263.10","ENSG00000188263","IL17REL","IL17REL","Up"
307.979656807722,-0.368994090908011,0.0856703044850442,1.391419982359e-05,2.34614369673848e-05,"ENSG00000188266.14","ENSG00000188266","HYKK","HYKK","NS"
19.5607992959679,0.732428521426801,0.252051039148055,0.0024235679765084,0.0034198595585553,"ENSG00000188269.10","ENSG00000188269","OR7A5","OR7A5","NS"
119.130697215192,0.146800883321575,0.123986481557211,0.232360839304621,0.263828179967742,"ENSG00000188277.10","ENSG00000188277","C15orf62","C15orf62","NS"
69.5146672551042,3.52590559588561,0.207624641205981,4.01558376307287e-49,4.73468514666393e-48,"ENSG00000188282.12","ENSG00000188282","RUFY4","RUFY4","Up"
700.265064644993,-0.362414239588883,0.0743798423231328,9.43371968319289e-07,1.71611456999005e-06,"ENSG00000188283.11","ENSG00000188283","ZNF383","ZNF383","NS"
379.056763093532,1.69194805943427,0.162136576672063,4.12130614205576e-26,1.96125401419264e-25,"ENSG00000188290.11","ENSG00000188290","HES4","HES4","Up"
29.827282954117,2.4310424299983,0.305839095272732,8.42361604125961e-12,2.07128173745854e-11,"ENSG00000188293.6","ENSG00000188293","IGFL1","IGFL1","Up"
411.522390976435,0.636159573627143,0.0795912314291445,1.15086290003351e-15,3.43069575097126e-15,"ENSG00000188295.15","ENSG00000188295","ZNF669","ZNF669","NS"
26.6481782211815,0.0683865176025321,0.131968077186799,0.59953088162698,0.632965556108742,"ENSG00000188305.6","ENSG00000188305","PEAK3","PEAK3","NS"
9.47922327427085,1.63965979685885,0.208324596134668,1.05097202705513e-15,3.13715860454002e-15,"ENSG00000188306.6","ENSG00000188306","LRRIQ4","LRRIQ4","Up"
242.737087329922,0.618781774215421,0.0795231344103456,5.52387222194369e-15,1.59554444522286e-14,"ENSG00000188312.14","ENSG00000188312","CENPP","CENPP","NS"
3856.152654514,0.848909113582635,0.0956115504259049,6.33753162192058e-19,2.21996402602868e-18,"ENSG00000188313.13","ENSG00000188313","PLSCR1","PLSCR1","NS"
341.637454497165,-0.293783984163628,0.0545308162787785,6.71347355789596e-08,1.31375732555378e-07,"ENSG00000188315.8","ENSG00000188315","C3orf62","C3orf62","NS"
24.0326579565492,-0.834164084630242,0.117271964577043,6.4745195941828e-13,1.68318105986413e-12,"ENSG00000188316.15","ENSG00000188316","ENO4","ENO4","NS"
847.652296460535,-0.705006391909189,0.0848974106386659,6.94510292662883e-17,2.20595795717128e-16,"ENSG00000188321.13","ENSG00000188321","ZNF559","ZNF559","NS"
1845.34246223944,2.6036866959689,0.165623672011216,1.2458591840299e-56,1.93730305511538e-55,"ENSG00000188322.8","ENSG00000188322","SBK1","SBK1","Up"
677.942422337395,1.7269069892383,0.230871177250994,1.72518093747999e-14,4.85718323756248e-14,"ENSG00000188338.15","ENSG00000188338","SLC38A3","SLC38A3","Up"
1600.15759691321,0.631923747577716,0.0598051738793528,3.79253148035608e-26,1.80621170836017e-25,"ENSG00000188342.12","ENSG00000188342","GTF2F2","GTF2F2","NS"
1105.22094629024,0.316802058768091,0.099414319879633,0.0012241620849437,0.00177313333419986,"ENSG00000188343.13","ENSG00000188343","CIBAR1","CIBAR1","NS"
2719.02681588987,0.121578254985508,0.0811459215664586,0.139816096895333,0.163915106549413,"ENSG00000188352.12","ENSG00000188352","FOCAD","FOCAD","NS"
124.617249194471,2.23346267649723,0.122315442517182,2.60244863934988e-75,7.48944016601531e-74,"ENSG00000188368.10","ENSG00000188368","PRR19","PRR19","Up"
355.039999860839,1.03232258059991,0.117745325989734,9.29876690516818e-19,3.23300528714042e-18,"ENSG00000188372.15","ENSG00000188372","ZP3","ZP3","Up"
17.2367040297924,0.437878719903009,0.111713445964428,7.99025116084264e-05,0.00012717070339146,"ENSG00000188375.5","ENSG00000188375","H3-5","H3-5","NS"
10.7946433062319,0.375934927450297,0.158632959009724,0.0160925382813511,0.0209852712507106,"ENSG00000188383.8","ENSG00000188383","GPAT2P2","GPAT2P2","NS"
112.446931323228,-0.849829157954083,0.162658025217965,9.64279330599174e-08,1.86624547098991e-07,"ENSG00000188385.12","ENSG00000188385","JAKMIP3","JAKMIP3","NS"
133.832449524646,2.67659359240847,0.187841794933883,5.50384242456605e-47,6.01632892215503e-46,"ENSG00000188389.11","ENSG00000188389","PDCD1","PDCD1","Up"
10.543899681277,-0.0885780872099358,0.18442470419108,0.620024163401429,0.652870633582924,"ENSG00000188394.8","ENSG00000188394","GPR21","GPR21","NS"
18.2881891714517,-0.746566239566954,0.154530022504644,8.98079609152424e-07,1.63592737563396e-06,"ENSG00000188396.4","ENSG00000188396","DYNLT4","DYNLT4","NS"
24.0098211829742,1.34129407989328,0.276093458561119,0.00329304350038803,0.00459471125809541,"ENSG00000188403.7","ENSG00000188403","IGHV1OR15-9","IGHV1OR15-9","Up"
982.759052373619,1.82542424299096,0.177430226778485,1.54580651333983e-25,7.19825429495995e-25,"ENSG00000188404.10","ENSG00000188404","SELL","SELL","Up"
1540.8179885651,-0.499608899154553,0.0773672605735963,5.67740828408571e-11,1.33042517908498e-10,"ENSG00000188419.14","ENSG00000188419","CHM","CHM","NS"
