node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
IFI44L,960.0,1.34123,8.0,16.0,150.609,1.0,0.1,147.17937,10.66379,67.72298,28072.0,0.38333,
SKA1,9.223372036854777E13,2.44951,42.0,84.0,279.427,1.0,0.09091,191.92345,11.18448,25.56569,29304.0,0.4039,
INMT,6.0,0.92693,3.0,6.0,62.711,1.0,0.1,139.84603,10.57414,0.0,0.0,0.4,
RDH10,7.0,0.92693,3.0,8.0,44.248,2.0,0.1,134.4627,10.38621,312.57414,114936.0,0.21429,
CCDC170,1.0,0.0,1.0,2.0,58.949,1.0,0.1,169.51627,11.38276,0.0,0.0,0.0,
CENPU,9.223372036854777E13,2.11638,27.0,54.0,277.69,1.0,0.09091,183.59012,11.14138,84.99885,121616.0,0.40112,
JCHAIN,8.0,0.75786,4.0,8.0,62.227,1.0,0.09091,142.90916,10.67069,5.33333,96.0,0.28571,
RBP1,3.0,0.61557,2.0,6.0,53.594,1.0,0.1,138.04841,10.53103,169.4181,63152.0,0.13333,
PTK6,1.0,0.0,1.0,2.0,55.25,1.0,0.1,159.60198,11.10517,0.0,0.0,0.0,
FLRT2,1.0,0.0,1.0,2.0,57.055,1.0,0.1,171.71865,11.38966,0.0,0.0,0.0,
POU2AF1,10.0,0.64826,5.0,10.0,74.929,2.0,0.09091,148.89726,10.82931,255.07963,71848.0,0.22222,
HSPB7,2.0,0.61557,2.0,4.0,33.537,1.0,0.1,131.43294,10.35517,0.0,0.0,0.33333,
LRP2,6.0,0.61795,3.0,10.0,133.729,2.0,0.11111,178.63016,11.46207,1204.02474,217088.0,0.08889,
POU2F3,1.0,0.0,1.0,2.0,23.963,1.0,0.09091,115.25321,9.71034,0.0,0.0,0.0,
OASL,962.0,1.14559,9.0,18.0,163.688,1.0,0.1,147.67937,10.66552,104.3662,38400.0,0.31373,
CBLC,1.0,0.0,1.0,2.0,51.66,1.0,0.09091,137.76392,10.54138,0.0,0.0,0.0,
GHR,32.0,0.85588,6.0,12.0,193.884,2.0,0.11111,187.28016,11.62759,192.1339,43808.0,0.27273,
PIGR,3.0,0.61557,2.0,6.0,42.388,2.0,0.09091,142.2425,10.66724,1158.0,435808.0,0.13333,
MYBPC1,1.0,0.0,1.0,2.0,27.863,1.0,0.1,130.4996,10.3431,0.0,0.0,0.0,
HSPB6,2.0,0.0,1.0,4.0,43.994,2.0,0.09091,146.27583,10.7431,428.4653,118440.0,0.0,
MZB1,6.0,0.92693,3.0,6.0,54.827,1.0,0.09091,142.2425,10.66724,0.0,0.0,0.4,
GJB2,3.0,0.61557,2.0,6.0,1.713,4.0,0.08333,74.42118,6.78621,3462.0,2.9305824E7,0.13333,
ANGPT1,489.0,0.89412,13.0,28.0,255.456,2.0,0.11111,192.18254,11.63966,1460.46069,775920.0,0.18519,
SYNM,1.0,0.0,1.0,2.0,22.415,1.0,0.1,130.4996,10.3431,0.0,0.0,0.0,
TMPRSS3,2.0,0.61557,2.0,4.0,1.534,1.0,0.07692,65.94467,5.79138,0.0,0.0,0.33333,
DPP4,12.0,0.64826,5.0,14.0,198.503,1.0,0.11111,190.81349,11.70517,739.31241,413912.0,0.13187,
HSD11B1,2.0,0.0,1.0,4.0,22.692,2.0,0.09091,128.51631,10.27069,1158.0,592616.0,0.0,
SYNPO2,2.0,0.61557,2.0,4.0,29.067,1.0,0.1,131.43294,10.35517,0.0,0.0,0.33333,
HPGD,1.0,0.0,1.0,2.0,3.969,1.0,0.08333,104.58737,9.27241,0.0,0.0,0.0,
RRM2,9.223372036854777E13,2.26053,65.0,132.0,279.427,9.0,0.09091,216.01035,11.53448,1633.34787,1604368.0,0.31575,
AK5,1.0,0.0,1.0,2.0,50.967,1.0,0.08333,147.32983,10.53621,0.0,0.0,0.0,
NOSTRIN,1.0,0.0,1.0,2.0,50.075,1.0,0.11111,155.59921,11.0931,0.0,0.0,0.0,
PIMREG,3628800.0,1.79574,10.0,20.0,247.945,1.0,0.09091,171.02345,11.02241,0.0,0.0,0.47368,
FOSL1,721.0,1.42647,6.0,14.0,156.438,2.0,0.1,158.87579,11.07069,1158.0,361392.0,0.32967,
SECTM1,1.0,0.0,1.0,2.0,37.32,1.0,0.09091,127.8917,10.23276,0.0,0.0,0.0,
AHNAK,1.0,0.0,1.0,2.0,37.078,1.0,0.09091,122.87464,10.07241,0.0,0.0,0.0,
CLDN5,38.0,1.03722,5.0,18.0,161.149,14.0,0.14286,188.45238,11.6431,13641.43331,3.9084304E7,0.15686,
PLAT,601.0,1.24106,9.0,20.0,229.786,2.0,0.11111,194.03016,11.70345,1188.7099,277176.0,0.27368,
SCUBE3,2.0,0.0,1.0,4.0,76.122,1.0,0.11111,163.03016,11.21379,17.84661,24744.0,0.0,
LINGO1,1.0,0.0,1.0,2.0,49.144,1.0,0.09091,137.24726,10.52069,0.0,0.0,0.0,
CENPM,9.223372036854777E13,2.19849,38.0,76.0,279.427,1.0,0.09091,188.70678,11.13966,142.18932,193232.0,0.37404,
CAVIN2,1.0,0.0,1.0,2.0,45.679,1.0,0.11111,155.59921,11.0931,0.0,0.0,0.0,
EDNRB,3.0,0.0,1.0,6.0,93.241,2.0,0.1,160.26746,11.11552,600.72284,129800.0,0.0,
EPHB3,2.0,0.61557,2.0,4.0,44.142,1.0,0.09091,127.24051,10.16724,0.0,0.0,0.33333,
TACC3,9.223372036854777E13,2.47771,27.0,56.0,278.871,2.0,0.09091,198.9175,11.50172,3395.70838,3091392.0,0.43636,
MME,52.0,0.8164,8.0,20.0,217.038,4.0,0.1,191.0496,11.67069,1537.55591,809952.0,0.15789,
GPER1,3.0,0.61557,2.0,6.0,112.813,1.0,0.1,174.13294,11.45,52.80061,28752.0,0.13333,
NGEF,2.0,0.61557,2.0,4.0,41.993,1.0,0.09091,127.24051,10.16724,0.0,0.0,0.33333,
EFNA3,7.0,0.61557,2.0,14.0,175.701,3.0,0.1,165.98651,11.16379,2341.68455,1978824.0,0.04396,
KCNN4,5.0,0.61557,2.0,10.0,37.403,5.0,0.1,149.58889,10.8069,4618.0,1572808.0,0.04444,
MMP9,23321.0,0.78445,32.0,66.0,277.929,31.0,0.125,233.56071,12.19828,15737.6634,1.68088E7,0.1324,
EFEMP1,1.0,0.0,1.0,2.0,18.658,1.0,0.09091,112.62146,9.60862,0.0,0.0,0.0,
HLA-DQA2,3.0,0.61557,2.0,6.0,31.579,2.0,0.08333,117.01595,9.76034,1158.0,2318720.0,0.13333,
SCN4A,4.0,0.61795,3.0,6.0,46.762,1.0,0.1,148.50556,10.80345,239.59804,214936.0,0.26667,
NR3C2,5.0,0.61557,2.0,10.0,130.649,3.0,0.1,166.7996,11.26552,2451.00519,940096.0,0.08889,
GFRA1,2.0,0.0,1.0,4.0,35.311,1.0,0.09091,137.4544,10.55862,29.1217,3624.0,0.0,
SCUBE2,1.0,0.0,1.0,2.0,13.836,1.0,0.09091,128.13892,10.29138,0.0,0.0,0.0,
NMNAT2,1.0,0.0,1.0,2.0,42.058,1.0,0.1,149.92698,10.92586,0.0,0.0,0.0,
STRA6,4.0,0.61557,2.0,8.0,62.992,4.0,0.1,154.06627,10.93966,1324.15447,312872.0,0.07143,
EBF3,1.0,0.0,1.0,2.0,16.385,1.0,0.09091,124.56512,10.15,0.0,0.0,0.0,
RGN,1.0,0.0,1.0,2.0,36.32,1.0,0.1,146.92222,10.7931,0.0,0.0,0.0,
HSPB8,7.0,0.56839,4.0,10.0,36.271,1.0,0.1,138.11389,10.53276,222.24807,74072.0,0.13333,
CRYAB,2.0,0.61557,2.0,4.0,30.989,1.0,0.1,131.43294,10.35517,0.0,0.0,0.33333,
AKAP12,3.0,0.0,1.0,6.0,81.379,3.0,0.1,162.36389,11.13448,873.65435,362328.0,0.0,
EBF2,3.0,0.61557,2.0,6.0,67.861,2.0,0.1,159.77579,11.13448,345.3163,170368.0,0.13333,
DCLK1,1.0,0.0,1.0,2.0,33.888,1.0,0.1,146.92222,10.7931,0.0,0.0,0.0,
AGTR1,6.0,0.56839,4.0,8.0,138.882,1.0,0.1,163.48294,11.13793,231.5684,108856.0,0.21429,
PLAAT3,4.0,0.61557,2.0,8.0,9.383,3.0,0.08333,107.49729,9.29138,2314.0,2864424.0,0.07143,
ZNF423,5.0,0.61795,3.0,8.0,85.081,2.0,0.1,161.09246,11.14828,1167.79201,265600.0,0.14286,
CRABP2,1.0,0.0,1.0,2.0,2.629,1.0,0.07692,89.74918,8.2931,0.0,0.0,0.0,
GPRASP1,1.0,0.0,1.0,2.0,16.492,1.0,0.09091,121.95956,10.02931,0.0,0.0,0.0,
IKZF3,2.0,0.61557,2.0,4.0,36.806,1.0,0.09091,131.24964,10.33966,0.0,0.0,0.33333,
OXTR,2.0,0.0,1.0,4.0,91.436,1.0,0.1,175.92341,11.49828,48.45052,34472.0,0.0,
TIMP4,7.0,0.92693,3.0,8.0,124.382,2.0,0.11111,164.72063,11.22931,1416.43576,466968.0,0.21429,
MAPT,5.0,0.61557,2.0,10.0,108.557,8.0,0.1,184.38413,11.39483,4906.77991,1330664.0,0.04444,
TMTC1,3.0,0.0,1.0,6.0,42.666,1.0,0.09091,135.88773,10.46379,292.97139,61896.0,0.0,
AGT,850.0,0.87792,10.0,28.0,246.748,8.0,0.11111,202.08016,11.81552,5589.0327,1962608.0,0.12169,
ADRB2,6.0,0.61557,2.0,12.0,90.113,5.0,0.1,157.26746,11.02759,2699.53407,1045504.0,0.0303,
IQGAP2,2.0,0.61557,2.0,4.0,65.445,1.0,0.1,155.80556,10.97586,0.0,0.0,0.33333,
CFD,2.0,0.61557,2.0,4.0,91.86,1.0,0.1,153.41865,10.99483,0.0,0.0,0.33333,
CEBPA,610.0,0.79029,12.0,28.0,241.288,28.0,0.11111,206.09683,11.87586,7124.57793,3192224.0,0.14286,
RASD1,2.0,0.0,1.0,4.0,38.005,2.0,0.1,147.92222,10.80172,893.23091,232152.0,0.0,
LMX1B,2.0,0.0,1.0,4.0,36.207,1.0,0.09091,124.62464,10.10862,52.07815,23096.0,0.0,
PRG4,1.0,0.0,1.0,2.0,42.926,1.0,0.09091,139.04488,10.59655,0.0,0.0,0.0,
CHMP4C,2.0,0.61557,2.0,4.0,97.176,1.0,0.08333,150.05602,10.53276,0.0,0.0,0.33333,
IL6,3.9964398E7,0.53317,61.0,126.0,279.577,110.0,0.125,258.56071,12.38793,54678.02706,3.3793312E7,0.0734,
CAV2,2.0,0.61557,2.0,4.0,73.243,1.0,0.11111,164.93254,11.25862,0.0,0.0,0.33333,
S100A9,2.0,0.0,1.0,4.0,60.203,1.0,0.1,151.67698,10.93276,82.27765,10856.0,0.0,
LDB2,2.0,0.0,1.0,4.0,22.458,1.0,0.09091,128.13416,10.21379,126.81733,68536.0,0.0,
PYGL,4.0,0.0,1.0,8.0,41.326,4.0,0.1,149.17222,10.8069,3762.29362,1758384.0,0.0,
IGF1,51193.0,0.97405,30.0,62.0,279.044,6.0,0.11111,230.9373,12.17069,7652.5642,4467112.0,0.16711,
NDN,2.0,0.0,1.0,4.0,95.974,1.0,0.09091,164.32702,11.17069,120.40069,59608.0,0.0,
CIDEC,246.0,1.1708,7.0,14.0,191.947,2.0,0.1,169.27579,11.27931,204.06205,201320.0,0.35165,
RYR1,5.0,0.61557,2.0,10.0,83.496,3.0,0.1,168.26865,11.27069,3583.33724,1062280.0,0.04444,
CACNA2D1,1.0,0.0,1.0,2.0,16.631,1.0,0.09091,128.54726,10.27241,0.0,0.0,0.0,
OLR1,1.0,0.0,1.0,2.0,51.926,1.0,0.1,150.34365,10.91724,0.0,0.0,0.0,
MYBL2,9.223372036854777E13,2.05319,23.0,46.0,276.933,2.0,0.09091,189.61035,11.37931,47.93532,61368.0,0.40966,
RBP4,8.0,0.92693,3.0,10.0,130.358,2.0,0.1,160.25198,11.12586,962.35153,316512.0,0.17778,
CLEC7A,2.0,0.0,1.0,4.0,61.564,3.0,0.1,152.38413,10.95172,302.73409,123176.0,0.0,
LEPR,122.0,1.04608,6.0,12.0,200.439,1.0,0.11111,188.53016,11.6431,51.53594,39904.0,0.33333,
FAM83D,3.99168E7,1.86649,11.0,22.0,250.924,1.0,0.09091,179.67702,11.26379,0.0,0.0,0.47619,
SLPI,1.0,0.0,1.0,2.0,33.752,1.0,0.1,140.23889,10.65345,0.0,0.0,0.0,
