node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
EZH2,73.0,0.53647,13.0,32.0,262.998,4.0,0.1,211.99008,11.88276,8763.19506,3946632.0,0.08468,
COL9A2,12.0,0.57059,6.0,12.0,136.589,1.0,0.1,155.63532,10.9569,517.5724,749816.0,0.18182,
THRSP,1.0,0.0,1.0,2.0,42.549,1.0,0.1,134.64484,10.46034,0.0,0.0,0.0,
AR,30.0,0.51877,10.0,20.0,219.169,2.0,0.11111,199.90397,11.81897,4570.29163,2060544.0,0.13684,
COL11A1,11.0,0.47549,6.0,14.0,132.952,1.0,0.1,154.0377,10.88103,480.96785,648224.0,0.10989,
CILP,3.0,0.61557,2.0,6.0,67.599,1.0,0.09091,123.91154,10.01034,3.0,80.0,0.13333,
LMNB1,120.0,1.29653,5.0,10.0,184.125,1.0,0.09091,168.19012,11.01034,0.0,0.0,0.44444,
PLIN4,6.0,0.92693,3.0,6.0,99.29,1.0,0.1,141.20198,10.62586,0.0,0.0,0.4,
TNN,1.0,0.0,1.0,2.0,48.474,1.0,0.1,147.58056,10.79828,0.0,0.0,0.0,
DPT,2.0,0.0,1.0,4.0,62.254,1.0,0.1,146.64722,10.75172,48.28756,38808.0,0.0,
AQP5,1.0,0.0,1.0,2.0,8.999,1.0,0.09091,109.04329,9.46897,0.0,0.0,0.0,
GINS1,60480.0,1.45613,13.0,26.0,261.457,1.0,0.09091,173.82345,11.05172,28.8936,50632.0,0.35077,
AQP7,3.0,0.0,1.0,6.0,41.515,3.0,0.1,135.97817,10.46724,2314.0,1813784.0,0.0,
AQP1,1.0,0.0,1.0,2.0,9.459,1.0,0.09091,109.04329,9.46897,0.0,0.0,0.0,
RECQL4,91440.0,1.62893,11.0,22.0,251.619,1.0,0.09091,165.97821,10.87931,12.28295,6488.0,0.41558,
MMP7,176.0,1.04966,8.0,20.0,224.363,2.0,0.11111,187.07063,11.6069,3259.31514,1696200.0,0.18947,
PIP,2.0,0.0,1.0,4.0,34.546,2.0,0.09091,139.25559,10.61034,1158.0,625128.0,0.0,
APOD,1.0,0.0,1.0,2.0,9.078,1.0,0.08333,111.50722,9.61207,0.0,0.0,0.0,
SERPINE2,1.0,0.0,1.0,2.0,43.533,1.0,0.1,142.50556,10.70517,0.0,0.0,0.0,
JAM3,2.0,0.0,1.0,4.0,4.135,6.0,0.1,96.90635,8.75862,5750.0,3.4800552E7,0.0,
ESPN,2.0,0.0,1.0,4.0,1.54,5.0,0.09091,83.89329,7.77414,4608.0,3.2969016E7,0.0,
SOCS2,2.0,0.61557,2.0,4.0,85.858,1.0,0.1,161.19246,11.18621,0.0,0.0,0.33333,
CENPW,448200.0,1.47336,17.0,34.0,271.475,1.0,0.09091,171.16869,10.95862,26.2369,19416.0,0.32442,
LCN2,29.0,0.90757,5.0,16.0,173.978,4.0,0.11111,189.34683,11.65172,3529.69601,753016.0,0.11667,
CHI3L1,1.0,0.0,1.0,2.0,38.842,1.0,0.1,140.23889,10.65345,0.0,0.0,0.0,
PNPLA7,1.0,0.0,1.0,2.0,2.427,1.0,0.07692,89.74918,8.2931,0.0,0.0,0.0,
UHRF1,5.59203848E8,1.52792,18.0,36.0,271.432,1.0,0.09091,180.80559,11.16552,245.69647,123384.0,0.33016,
CD3E,13.0,0.77792,5.0,12.0,141.486,1.0,0.1,160.59365,11.07759,702.08041,1063544.0,0.18182,
SELL,317.0,0.74084,13.0,36.0,253.101,5.0,0.11111,199.46349,11.74138,6317.88194,3020808.0,0.09524,
CDKN1C,313.0,1.22461,8.0,18.0,226.853,2.0,0.09091,176.84369,11.2069,1176.54559,909976.0,0.27451,
BRIP1,295.0,1.05012,9.0,20.0,230.304,1.0,0.09091,166.56512,10.95517,384.06405,158440.0,0.23158,
ANO1,2.0,0.0,1.0,4.0,94.947,1.0,0.1,163.36984,11.17414,341.39981,111144.0,0.0,
DIAPH3,12.0,0.94732,4.0,8.0,168.636,1.0,0.09091,164.95678,10.95172,0.04878,8.0,0.35714,
KIF20A,9.223372036854777E13,2.26969,75.0,150.0,279.427,2.0,0.09091,220.64369,11.5569,1975.0018,1798984.0,0.31284,
VANGL2,3.0,0.61557,2.0,6.0,6.342,2.0,0.09091,105.3167,9.16897,1158.0,3283792.0,0.13333,
CEP55,9.223372036854777E13,2.37447,71.0,142.0,279.427,1.0,0.09091,216.09369,11.47931,903.10176,1514776.0,0.33283,
WNT7B,4.0,0.61557,2.0,8.0,25.604,4.0,0.1,128.91865,10.16207,3676.80595,6672280.0,0.07143,
TPX2,9.223372036854777E13,2.4329,71.0,142.0,279.427,1.0,0.09091,217.26035,11.50517,334.02889,421328.0,0.34102,
FZD4,2.0,0.61557,2.0,4.0,3.861,1.0,0.09091,104.8167,9.16724,0.0,0.0,0.33333,
BUB1,9.223372036854777E13,2.20009,83.0,166.0,279.427,1.0,0.09091,223.42702,11.52759,595.96663,667472.0,0.29398,
ASPM,9.223372036854777E13,2.33955,72.0,144.0,279.427,2.0,0.09091,216.16035,11.46724,1611.81001,2194392.0,0.32653,
WLS,2.0,0.0,1.0,4.0,17.421,1.0,0.09091,116.86789,9.76034,69.32214,36616.0,0.0,
CIT,720.0,1.42647,6.0,12.0,200.846,1.0,0.08333,155.60364,10.63793,0.0,0.0,0.45455,
RAD51AP1,9.223372036854777E13,2.08136,33.0,66.0,279.127,1.0,0.09091,189.29012,11.19483,302.97946,169144.0,0.37016,
NUF2,9.223372036854777E13,2.26443,79.0,158.0,279.427,1.0,0.09091,221.42702,11.52069,513.41556,610352.0,0.30718,
ORC1,7.3374336E8,1.89521,18.0,36.0,274.453,1.0,0.09091,181.14012,11.18103,35.36121,23168.0,0.40952,
HMMR,9.223372036854777E13,2.6811,57.0,116.0,279.427,1.0,0.1,210.16151,11.48276,1556.7417,1524800.0,0.38831,
TOP2A,9.223372036854777E13,2.16416,80.0,160.0,279.427,1.0,0.09091,221.07702,11.50345,775.87767,674080.0,0.29245,
DEPDC1,9.223372036854777E13,2.64261,44.0,88.0,279.427,1.0,0.09091,199.42702,11.36724,64.43277,149056.0,0.42947,
MB,1.0,0.0,1.0,2.0,9.038,1.0,0.09091,117.06075,9.80862,0.0,0.0,0.0,
IL4I1,8.0,0.92693,3.0,10.0,63.226,4.0,0.1,141.42937,10.58448,3466.0,2728696.0,0.13333,
AURKB,9.223372036854777E13,2.17605,83.0,168.0,279.427,2.0,0.09091,225.30083,11.5569,1996.43964,2055176.0,0.28386,
SDS,1.0,0.0,1.0,2.0,3.206,1.0,0.08333,93.79729,8.59138,0.0,0.0,0.0,
IL33,3.0,0.61557,2.0,6.0,115.122,1.0,0.11111,176.08016,11.43793,75.62746,31328.0,0.13333,
MATK,1.0,0.0,1.0,2.0,50.516,1.0,0.09091,137.24726,10.51207,0.0,0.0,0.0,
CENPF,9.223372036854777E13,2.35662,74.0,148.0,279.427,2.0,0.09091,218.19369,11.49483,504.4891,525352.0,0.32616,
BHMT2,2.0,0.0,1.0,4.0,13.47,2.0,0.09091,112.78456,9.58966,1158.0,1364360.0,0.0,
E2F2,26.0,0.90757,5.0,10.0,168.67,1.0,0.09091,172.51273,11.16379,32.9806,11912.0,0.31111,
CKAP2L,9.223372036854777E13,2.44835,33.0,66.0,279.427,1.0,0.09091,185.34012,11.10862,8.09067,7192.0,0.43543,
S100A8,2.0,0.0,1.0,4.0,68.612,1.0,0.1,155.25317,10.95517,88.91015,16936.0,0.0,
FMOD,56.0,0.75809,8.0,16.0,172.183,5.0,0.1,179.15198,11.45172,2068.89308,944920.0,0.21667,
MELK,9.223372036854777E13,2.30481,74.0,148.0,279.427,1.0,0.09091,223.42464,11.62414,1476.27891,925904.0,0.31899,
SDC1,1265.0,0.76097,17.0,46.0,269.762,9.0,0.11111,206.15397,11.79655,9188.27272,5068648.0,0.09662,
KIF14,9.223372036854777E13,2.38859,52.0,104.0,279.427,1.0,0.09091,198.07345,11.2069,220.02698,591416.0,0.36856,
GINS4,87120.0,1.595,11.0,22.0,253.156,1.0,0.09091,161.67107,10.78103,2.22941,192.0,0.40693,
MFAP2,18.0,0.76079,6.0,12.0,138.83,1.0,0.1,150.56389,10.79138,105.15423,61288.0,0.24242,
KIF2C,9.223372036854777E13,2.56746,69.0,138.0,279.427,1.0,0.09091,215.26035,11.47759,212.42566,348384.0,0.36306,
CDK1,9.223372036854777E13,1.69679,104.0,210.0,279.427,29.0,0.1,252.9996,11.97586,19270.52337,1.2128368E7,0.20761,
CCN4,2.0,0.61557,2.0,4.0,82.957,1.0,0.1,146.88056,10.76034,0.0,0.0,0.33333,
PBK,9.223372036854777E13,2.34732,74.0,148.0,279.427,1.0,0.09091,219.09369,11.51379,429.1469,531152.0,0.32488,
BUB1B,9.223372036854777E13,2.28517,80.0,160.0,279.427,2.0,0.09091,222.80083,11.54483,731.73277,870944.0,0.30881,
COMP,60.0,0.66826,9.0,22.0,211.402,2.0,0.1,187.93294,11.59483,2624.43675,1181560.0,0.12121,
IQGAP3,10.0,0.75786,4.0,12.0,173.595,1.0,0.1,176.23889,11.22586,4171.29748,1353792.0,0.15152,
IGF2BP2,1.0,0.0,1.0,2.0,52.093,1.0,0.09091,149.12226,10.79828,0.0,0.0,0.0,
DCN,3133.0,0.79383,22.0,46.0,270.428,2.0,0.11111,202.40397,11.74138,4628.0228,1917432.0,0.14686,
CDCA8,9.223372036854777E13,2.34515,73.0,146.0,279.427,2.0,0.09091,218.42702,11.51034,956.34926,1475368.0,0.32593,
NEK2,9.223372036854777E13,2.74735,57.0,114.0,279.427,1.0,0.09091,207.3675,11.42931,147.6062,241976.0,0.41205,
NAT1,1.0,0.0,1.0,2.0,13.617,1.0,0.08333,109.83182,9.49138,0.0,0.0,0.0,
KIF4A,9.223372036854777E13,2.45998,71.0,142.0,279.427,1.0,0.09091,216.24369,11.48448,484.60867,1318008.0,0.34482,
CES1,3.0,0.61557,2.0,6.0,61.366,2.0,0.09091,137.30797,10.48966,1158.0,956848.0,0.13333,
BIRC5,9.223372036854777E13,2.27028,78.0,156.0,279.427,1.0,0.09091,220.92702,11.51897,474.92855,537472.0,0.30918,
MAL2,1.0,0.0,1.0,2.0,10.44,1.0,0.08333,113.15404,9.66897,0.0,0.0,0.0,
UBE2C,9.223372036854777E13,2.32209,69.0,138.0,279.427,1.0,0.09091,216.1175,11.50345,486.66292,477808.0,0.32836,
UCHL1,3.0,0.61557,2.0,6.0,83.282,1.0,0.09091,158.85321,11.05345,92.24781,70448.0,0.13333,
EXO1,9.223372036854777E13,1.81587,60.0,120.0,279.427,1.0,0.09091,204.10678,11.26724,1337.92097,642968.0,0.26807,
G0S2,1.0,0.0,1.0,2.0,53.946,1.0,0.1,165.69246,11.28621,0.0,0.0,0.0,
TP63,2.0,0.0,1.0,4.0,84.991,1.0,0.09091,155.06035,10.95862,27.55962,15176.0,0.0,
CCNA2,9.223372036854777E13,1.97123,91.0,182.0,279.427,2.0,0.09091,230.5675,11.62241,1723.54007,1306016.0,0.25609,
PRKN,6.0,0.61557,2.0,12.0,133.755,5.0,0.1,178.50913,11.48621,4074.83507,4816856.0,0.06061,
TICRR,732266.0,1.35134,14.0,28.0,262.54,1.0,0.09091,174.27345,11.05172,33.97398,40376.0,0.31746,
MKI67,9.223372036854777E13,2.4844,58.0,116.0,279.427,2.0,0.09091,207.47702,11.42069,219.97503,225720.0,0.37061,
SP6,1.0,0.0,1.0,2.0,13.096,1.0,0.09091,114.5544,9.7069,0.0,0.0,0.0,
SHCBP1,9.223372036854777E13,2.34303,28.0,56.0,278.864,1.0,0.09091,178.33535,10.97759,4.18427,3312.0,0.43896,
C7,1.0,0.0,1.0,2.0,53.197,1.0,0.1,165.69246,11.28621,0.0,0.0,0.0,
TYMS,9.223372036854777E13,2.10266,36.0,74.0,279.427,1.0,0.09091,200.82702,11.46724,630.39784,352552.0,0.34432,
KPNA2,1.29802176E10,1.89521,18.0,36.0,273.946,1.0,0.09091,175.30678,11.03621,2.76546,448.0,0.40952,
PCDH19,1.0,0.0,1.0,2.0,9.844,1.0,0.09091,118.07742,9.83276,0.0,0.0,0.0,
TTK,9.223372036854777E13,2.53688,68.0,136.0,279.427,1.0,0.09091,214.76035,11.47241,243.73928,363392.0,0.36035,
CCNE1,3675144.0,1.42211,15.0,30.0,261.973,1.0,0.09091,181.84369,11.23966,49.51534,20176.0,0.32644,
CXCL13,5.18928504E8,1.63331,16.0,32.0,264.619,1.0,0.11111,199.48016,11.76897,846.85277,761096.0,0.36694,
PLK1,9.223372036854777E13,2.14666,73.0,148.0,279.427,2.0,0.09091,221.90083,11.58966,4709.78687,2320704.0,0.29031,
PHLDA2,1.0,0.0,1.0,2.0,43.692,1.0,0.08333,131.59888,10.20862,0.0,0.0,0.0,
CTSV,2.0,0.0,1.0,4.0,52.57,2.0,0.1,166.35913,11.28966,1158.0,238616.0,0.0,
CDC20,9.223372036854777E13,2.0235,88.0,176.0,279.427,1.0,0.09091,228.90083,11.61552,1258.77123,1227496.0,0.26558,
CD38,78.0,0.67321,12.0,32.0,238.89,6.0,0.11111,208.24683,11.92414,8517.62344,3311080.0,0.09274,
STMN1,2.0,0.0,1.0,4.0,97.551,1.0,0.09091,166.36035,11.16552,120.2756,58792.0,0.0,
CENPE,9.223372036854777E13,2.43486,67.0,134.0,279.427,1.0,0.09091,213.92702,11.47069,307.03029,382472.0,0.34744,
CD79A,50.0,0.69977,8.0,26.0,198.805,10.0,0.1,191.6996,11.66034,9244.26964,3660888.0,0.10462,
MCM4,9.223372036854777E13,1.61132,43.0,86.0,279.427,1.0,0.09091,195.27345,11.23448,315.47961,232408.0,0.26375,
BCL2,1181.0,0.60306,19.0,48.0,274.209,35.0,0.11111,240.07063,12.28448,31367.77567,2.026516E7,0.07979,
HBB,2.0,0.0,1.0,4.0,17.731,1.0,0.09091,124.28178,10.04483,123.98101,12296.0,0.0,
KIF11,9.223372036854777E13,2.29296,79.0,158.0,279.427,1.0,0.09091,220.86035,11.50517,695.80152,681248.0,0.31105,
SHC4,5.0,0.61557,2.0,10.0,190.81,1.0,0.1,168.26865,11.26207,23.91671,12392.0,0.04444,
NR2F1,2.0,0.0,1.0,4.0,51.046,2.0,0.1,171.18294,11.40172,571.11113,237160.0,0.0,
KIF23,9.223372036854777E13,2.5441,61.0,122.0,279.427,1.0,0.09091,209.06035,11.42586,327.10314,1092792.0,0.37366,
ORC6,7.98336E7,1.90255,12.0,24.0,254.731,1.0,0.09091,173.24012,11.05,0.12617,24.0,0.47101,
CCNB1,9.223372036854777E13,1.86547,93.0,186.0,279.427,1.0,0.1,242.16627,11.85345,10460.85387,8717960.0,0.24074,
EBF1,10.0,0.61795,3.0,16.0,135.118,3.0,0.1,172.08294,11.33276,3601.10323,1171136.0,0.06667,
VEGFD,23.0,0.58315,8.0,18.0,227.275,1.0,0.1,174.13532,11.33966,176.89391,59888.0,0.13072,
DLGAP5,9.223372036854777E13,2.24677,80.0,160.0,279.427,1.0,0.09091,220.59369,11.49483,554.5255,703016.0,0.30362,
NAT8L,1.0,0.0,1.0,2.0,14.308,1.0,0.09091,112.11789,9.58621,0.0,0.0,0.0,
TAL1,5.0,0.61557,2.0,10.0,95.894,2.0,0.1,165.07579,11.1931,1937.76657,655928.0,0.04444,
BCL11A,4.0,0.0,1.0,8.0,53.637,1.0,0.09091,144.50321,10.72414,738.32741,340320.0,0.0,
NCAPH,9.223372036854777E13,2.59698,49.0,98.0,279.427,1.0,0.09091,202.09369,11.38103,75.75859,145248.0,0.40816,
ETV7,1.0,0.0,1.0,2.0,3.192,1.0,0.08333,96.01277,8.7,0.0,0.0,0.0,
AURKA,9.223372036854777E13,2.31557,66.0,132.0,279.427,1.0,0.1,242.15675,12.05,28472.86904,2.261704E7,0.33195,
GBP5,3.0,0.61557,2.0,6.0,101.743,4.0,0.1,146.24603,10.68966,3462.0,5975520.0,0.13333,
ISG15,966.0,1.03754,10.0,20.0,187.185,8.0,0.11111,180.44683,11.45862,3477.27756,883192.0,0.27368,
TRIP13,9.223372036854777E13,2.70755,45.0,90.0,279.427,1.0,0.09091,202.66035,11.43276,48.65096,89624.0,0.43695,
SVEP1,1.0,0.0,1.0,2.0,49.566,1.0,0.11111,151.38492,10.92414,0.0,0.0,0.0,
ANLN,9.223372036854777E13,2.25887,45.0,90.0,279.427,1.0,0.09091,203.52702,11.45862,1078.4175,943696.0,0.36454,
IL32,4.0,0.61795,3.0,6.0,132.027,1.0,0.1,160.56984,11.03276,5.62782,5016.0,0.26667,
