baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
337.7823006,0.763517429,0.082010413,8.83E-21,3.19E-20,ACYP1,NS,0.763517429,19.49558786,protein_coding
814.8393674,-0.195267159,0.086166823,0.022510694,0.028604257,ACYP2,NS,-0.195267159,1.543569326,protein_coding
571.9234613,1.133868372,0.117732797,2.85E-22,1.10E-21,ADA,Up,1.133868372,20.96011695,protein_coding
3845.742909,0.367252244,0.12958677,0.004767705,0.006467337,ADA2,NS,0.367252244,2.189274495,protein_coding
11.13661282,-1.16063214,0.202809343,3.75E-09,7.66E-09,ADAD2,Down,-1.16063214,8.115531619,protein_coding
6793.745271,-0.100009218,0.067354733,0.13516222,0.157380151,ADAM10,NS,-0.100009218,0.803050042,protein_coding
79.10192327,0.84684212,0.166972826,2.40E-07,4.41E-07,ADAM11,NS,0.84684212,6.355947002,protein_coding
3824.494421,0.953408304,0.160225769,1.52E-09,3.18E-09,ADAM12,NS,0.953408304,8.497271316,protein_coding
13284.12134,1.065576158,0.09163044,2.86E-31,1.58E-30,ADAM15,Up,1.065576158,29.801993,protein_coding
2386.227227,0.396846208,0.076487501,2.48E-07,4.57E-07,ADAM17,NS,0.396846208,6.340334898,protein_coding
1377.938987,2.334205602,0.124070399,1.01E-79,2.93E-78,ADAM19,Up,2.334205602,77.53387073,protein_coding
21.5466454,0.929484276,0.170973637,3.06E-08,5.94E-08,ADAM21,NS,0.929484276,7.226010125,protein_coding
660.0500366,-0.883964734,0.149433067,1.88E-09,3.91E-09,ADAM22,NS,-0.883964734,8.407346734,protein_coding
231.3885362,-0.350613832,0.163712627,0.028421149,0.035766306,ADAM23,NS,-0.350613832,1.446525912,protein_coding
577.1525478,0.4682145,0.130563382,0.000283919,0.000425135,ADAM28,NS,0.4682145,3.371473362,protein_coding
11.59697099,-1.238508184,0.320694047,2.10E-09,4.35E-09,ADAM29,Down,-1.238508184,8.361670767,protein_coding
